UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 01:21 ?        00:00:05 /sbin/init splash
root           2       0  0 01:21 ?        00:00:00 [kthreadd]
root           3       2  0 01:21 ?        00:00:00 [rcu_gp]
root           4       2  0 01:21 ?        00:00:00 [rcu_par_gp]
root           6       2  0 01:21 ?        00:00:00 [kworker/0:0H-events_highpri]
root           9       2  0 01:21 ?        00:00:00 [mm_percpu_wq]
root          10       2  0 01:21 ?        00:00:00 [rcu_tasks_rude_]
root          11       2  0 01:21 ?        00:00:00 [rcu_tasks_trace]
root          12       2  0 01:21 ?        00:00:00 [ksoftirqd/0]
root          13       2  0 01:21 ?        00:00:07 [rcu_sched]
root          14       2  0 01:21 ?        00:00:00 [migration/0]
root          15       2  0 01:21 ?        00:00:00 [cpuhp/0]
root          16       2  0 01:21 ?        00:00:00 [cpuhp/1]
root          17       2  0 01:21 ?        00:00:00 [migration/1]
root          18       2  0 01:21 ?        00:00:02 [ksoftirqd/1]
root          20       2  0 01:21 ?        00:00:00 [kworker/1:0H-events_highpri]
root          23       2  0 01:21 ?        00:00:00 [kdevtmpfs]
root          24       2  0 01:21 ?        00:00:00 [netns]
root          25       2  0 01:21 ?        00:00:00 [kauditd]
root          26       2  0 01:21 ?        00:00:00 [khungtaskd]
root          27       2  0 01:21 ?        00:00:00 [oom_reaper]
root          28       2  0 01:21 ?        00:00:00 [writeback]
root          29       2  0 01:21 ?        00:00:03 [kcompactd0]
root          30       2  0 01:21 ?        00:00:00 [ksmd]
root          31       2  0 01:21 ?        00:00:01 [khugepaged]
root          49       2  0 01:21 ?        00:00:00 [kintegrityd]
root          50       2  0 01:21 ?        00:00:00 [kblockd]
root          51       2  0 01:21 ?        00:00:00 [blkcg_punt_bio]
root          52       2  0 01:21 ?        00:00:00 [edac-poller]
root          53       2  0 01:21 ?        00:00:00 [devfreq_wq]
root          54       2  0 01:21 ?        00:00:01 [kworker/0:1H-kblockd]
root          57       2  0 01:21 ?        00:00:04 [kswapd0]
root          58       2  0 01:21 ?        00:00:00 [kthrotld]
root          59       2  0 01:21 ?        00:00:00 [acpi_thermal_pm]
root          60       2  0 01:21 ?        00:00:00 [ipv6_addrconf]
root          69       2  0 01:21 ?        00:00:00 [kstrp]
root          72       2  0 01:21 ?        00:00:00 [zswap-shrink]
root          73       2  0 01:21 ?        00:00:00 [kworker/u5:0]
root         100       2  0 01:21 ?        00:00:01 [kworker/1:1H-kblockd]
root         118       2  0 01:21 ?        00:00:00 [cryptd]
root         121       2  0 01:21 ?        00:00:00 [ata_sff]
root         123       2  0 01:21 ?        00:00:00 [scsi_eh_0]
root         124       2  0 01:21 ?        00:00:00 [scsi_eh_1]
root         126       2  0 01:21 ?        00:00:00 [scsi_tmf_1]
root         128       2  0 01:21 ?        00:00:00 [scsi_tmf_0]
root         130       2  0 01:21 ?        00:00:00 [scsi_eh_2]
